VehicleId,DepotId,InitialLoad,RouteSequence,ClientsServed,DemandsSatisfied,TotalDistance,TotalTime,FuelCost,TotalCost
V001,CDA,12,CDA-C030-CDA,1,12,25.604709723561538,0.5689935494124786,13179.687426127994,131515.81271056668
V002,CDA,12,CDA-C062-CDA,1,12,15.92847158163138,0.35396603514736397,8198.971161492364,100710.29198269077
V003,CDA,12,CDA-C070-CDA,1,12,41.17616687324078,0.9150259305164619,21194.89010633131,181089.50436135835
V004,CDA,25,CDA-C010-CDA,1,25,26.74049430401638,0.5942332067559195,13764.31759438317,135131.72572576912
V005,CDA,12,CDA-C041-CDA,1,12,28.050721667302625,0.6233493703845028,14438.739889801038,139302.99927297983
V006,CDA,13,CDA-C001-CDA,1,13,14.154609400833667,0.3145468755740815,7285.898944218594,95062.97870066579
V007,CDA,12,CDA-C066-CDA,1,12,24.933134236542898,0.5540696497009533,12834.002780704715,129377.7677097892
V008,CDA,12,CDA-C022-CDA,1,12,35.669130071504355,0.792647334922319,18360.215373648036,163557.16029781854
V009,CDA,12,CDA-C079-CDA,1,12,37.828335807870985,0.8406296846193553,19471.638115840964,170431.26323862554
V010,CDA,11,CDA-C031-CDA,1,11,28.993418920056765,0.6442981982234837,14923.980896745012,142304.1945033854
V011,CDA,12,CDA-C016-CDA,1,12,29.614605202118238,0.6581023378248497,15243.728361932443,144281.8191346969
V012,CDA,12,CDA-C059-CDA,1,12,33.09542991558266,0.7354539981240592,17035.437082863078,155363.46225756258
V013,CDA,12,CDA-C090-CDA,1,12,26.663632578765554,0.5925251684170123,13724.754032648798,134887.026759532
V014,CDA,11,CDA-C006-CDA,1,11,25.064112432498394,0.556980276277742,12901.42208367549,129794.75326463231
V015,CDA,12,CDA-C035-CDA,1,12,32.38499686109902,0.7196665969133116,16669.75101587097,153101.7093051597
V016,CDA,12,CDA-C036-CDA,1,12,36.91850419292389,0.8204112042871976,19003.314263515564,167534.69989840797
V017,CDA,12,CDA-C075-CDA,1,12,14.03607094924924,0.3119126877610942,7224.882835981978,94685.5966360894
V018,CDA,15,CDA-C021-CDA,1,15,13.355570057422566,0.29679044572050145,6874.603955873301,92519.13648690553
V019,CDA,18,CDA-C008-C009-CDA,2,8-10,48.80653287656439,1.0845896194792086,25122.520606989463,205381.73390644242
V020,CDA,12,CDA-C088-CDA,1,12,39.885968022050065,0.8863548449344459,20530.777223981564,176981.9941006085
